Media Movel
Abertura; Desvio Padrao; Fechamento; Desvio Padrao; Alta; Desvio Padrao; Baixa; Desvio Padrao;
0,63424;0,00194;0,63425;0,00137;0,63428;0,00237;0,63420;0,00274;
0,63425;0,00194;0,63425;0,00137;0,63429;0,00237;0,63421;0,00274;
0,63426;0,00194;0,63426;0,00137;0,63429;0,00237;0,63422;0,00274;
0,63426;0,00194;0,63427;0,00137;0,63430;0,00237;0,63422;0,00274;
0,63427;0,00194;0,63428;0,00137;0,63431;0,00237;0,63423;0,00274;
0,63428;0,00194;0,63428;0,00137;0,63432;0,00237;0,63424;0,00274;
0,63428;0,00194;0,63428;0,00137;0,63432;0,00237;0,63424;0,00274;
0,63428;0,00194;0,63429;0,00137;0,63432;0,00237;0,63425;0,00274;
0,63429;0,00194;0,63429;0,00137;0,63433;0,00237;0,63426;0,00274;
0,63430;0,00194;0,63430;0,00137;0,63433;0,00237;0,63426;0,00274;
0,63431;0,00194;0,63430;0,00137;0,63434;0,00237;0,63426;0,00274;
0,63431;0,00194;0,63430;0,00137;0,63434;0,00237;0,63427;0,00274;
0,63431;0,00194;0,63431;0,00137;0,63434;0,00237;0,63427;0,00274;
0,63431;0,00194;0,63431;0,00137;0,63435;0,00237;0,63427;0,00274;
0,63432;0,00194;0,63431;0,00137;0,63435;0,00237;0,63428;0,00274;
0,63432;0,00194;0,63432;0,00137;0,63436;0,00237;0,63429;0,00274;
0,63433;0,00194;0,63432;0,00137;0,63436;0,00237;0,63429;0,00274;
0,63433;0,00194;0,63433;0,00137;0,63436;0,00237;0,63429;0,00274;
0,63434;0,00194;0,63433;0,00137;0,63437;0,00237;0,63430;0,00274;
0,63434;0,00194;0,63434;0,00137;0,63437;0,00237;0,63431;0,00274;
0,63435;0,00194;0,63434;0,00137;0,63438;0,00237;0,63431;0,00274;
0,63435;0,00194;0,63435;0,00137;0,63438;0,00237;0,63431;0,00274;
0,63435;0,00194;0,63435;0,00137;0,63438;0,00237;0,63432;0,00274;
0,63435;0,00194;0,63435;0,00137;0,63438;0,00237;0,63432;0,00274;
0,63436;0,00194;0,63435;0,00137;0,63438;0,00237;0,63432;0,00274;
0,63436;0,00194;0,63435;0,00137;0,63439;0,00237;0,63432;0,00274;
0,63436;0,00194;0,63436;0,00137;0,63439;0,00237;0,63433;0,00274;
0,63436;0,00194;0,63436;0,00137;0,63439;0,00237;0,63433;0,00274;
0,63436;0,00194;0,63436;0,00137;0,63439;0,00237;0,63433;0,00274;
0,63437;0,00194;0,63437;0,00137;0,63439;0,00237;0,63433;0,00274;
0,63437;0,00194;0,63437;0,00137;0,63439;0,00237;0,63434;0,00274;
0,63437;0,00194;0,63437;0,00137;0,63439;0,00237;0,63433;0,00274;
0,63436;0,00194;0,63436;0,00137;0,63439;0,00237;0,63433;0,00274;
0,63437;0,00194;0,63436;0,00137;0,63439;0,00237;0,63433;0,00274;
0,63437;0,00194;0,63437;0,00137;0,63439;0,00237;0,63434;0,00274;
0,63437;0,00194;0,63437;0,00137;0,63440;0,00237;0,63434;0,00274;
0,63438;0,00194;0,63438;0,00137;0,63440;0,00237;0,63435;0,00274;
0,63438;0,00194;0,63438;0,00137;0,63441;0,00237;0,63435;0,00274;
0,63438;0,00194;0,63439;0,00137;0,63442;0,00237;0,63436;0,00274;
