Media Movel
Abertura; Desvio Padrao; Fechamento; Desvio Padrao; Alta; Desvio Padrao; Baixa; Desvio Padrao;
0,67516;0,03564;0,67500;0,02520;0,67568;0,04361;0,67451;0,05039;
0,67500;0,03564;0,67490;0,02520;0,67554;0,04361;0,67440;0,05039;
0,67490;0,03564;0,67484;0,02520;0,67544;0,04361;0,67433;0,05039;
0,67484;0,03564;0,67481;0,02520;0,67537;0,04361;0,67430;0,05039;
0,67482;0,03564;0,67481;0,02520;0,67536;0,04361;0,67429;0,05039;
0,67481;0,03564;0,67484;0,02520;0,67535;0,04361;0,67431;0,05039;
0,67484;0,03564;0,67489;0,02520;0,67538;0,04361;0,67432;0,05039;
0,67489;0,03564;0,67492;0,02520;0,67541;0,04361;0,67437;0,05039;
0,67492;0,03564;0,67495;0,02520;0,67544;0,04361;0,67442;0,05039;
0,67495;0,03564;0,67489;0,02520;0,67538;0,04361;0,67443;0,05039;
0,67489;0,03564;0,67484;0,02520;0,67533;0,04361;0,67437;0,05039;
0,67484;0,03564;0,67478;0,02520;0,67534;0,04361;0,67430;0,05039;
0,67478;0,03564;0,67486;0,02520;0,67537;0,04361;0,67428;0,05039;
0,67486;0,03564;0,67490;0,02520;0,67539;0,04361;0,67431;0,05039;
0,67488;0,03564;0,67504;0,02520;0,67549;0,04361;0,67439;0,05039;
0,67502;0,03564;0,67514;0,02520;0,67559;0,04361;0,67450;0,05039;
0,67512;0,03564;0,67523;0,02520;0,67568;0,04361;0,67461;0,05039;
0,67522;0,03564;0,67536;0,02520;0,67580;0,04361;0,67474;0,05039;
0,67535;0,03564;0,67550;0,02520;0,67592;0,04361;0,67487;0,05039;
0,67549;0,03564;0,67562;0,02520;0,67603;0,04361;0,67500;0,05039;
0,67560;0,03564;0,67571;0,02520;0,67615;0,04361;0,67509;0,05039;
0,67570;0,03564;0,67583;0,02520;0,67628;0,04361;0,67521;0,05039;
0,67582;0,03564;0,67598;0,02520;0,67641;0,04361;0,67535;0,05039;
0,67597;0,03564;0,67611;0,02520;0,67653;0,04361;0,67548;0,05039;
0,67610;0,03564;0,67619;0,02520;0,67664;0,04361;0,67559;0,05039;
0,67618;0,03564;0,67626;0,02520;0,67672;0,04361;0,67568;0,05039;
0,67625;0,03564;0,67632;0,02520;0,67680;0,04361;0,67576;0,05039;
0,67631;0,03564;0,67639;0,02520;0,67686;0,04361;0,67584;0,05039;
0,67638;0,03564;0,67647;0,02520;0,67694;0,04361;0,67591;0,05039;
0,67645;0,03564;0,67658;0,02520;0,67705;0,04361;0,67600;0,05039;
0,67657;0,03564;0,67666;0,02520;0,67716;0,04361;0,67605;0,05039;
0,67665;0,03564;0,67674;0,02520;0,67726;0,04361;0,67617;0,05039;
0,67672;0,03564;0,67682;0,02520;0,67736;0,04361;0,67625;0,05039;
0,67681;0,03564;0,67689;0,02520;0,67744;0,04361;0,67632;0,05039;
0,67687;0,03564;0,67690;0,02520;0,67750;0,04361;0,67635;0,05039;
0,67689;0,03564;0,67690;0,02520;0,67752;0,04361;0,67635;0,05039;
0,67689;0,03564;0,67689;0,02520;0,67745;0,04361;0,67636;0,05039;
0,67688;0,03564;0,67682;0,02520;0,67737;0,04361;0,67634;0,05039;
0,67681;0,03564;0,67681;0,02520;0,67733;0,04361;0,67631;0,05039;
0,67679;0,03564;0,67669;0,02520;0,67724;0,04361;0,67629;0,05039;
0,67668;0,03564;0,67662;0,02520;0,67715;0,04361;0,67621;0,05039;
0,67661;0,03564;0,67654;0,02520;0,67707;0,04361;0,67612;0,05039;
0,67653;0,03564;0,67649;0,02520;0,67701;0,04361;0,67603;0,05039;
0,67648;0,03564;0,67644;0,02520;0,67698;0,04361;0,67597;0,05039;
0,67641;0,03564;0,67636;0,02520;0,67692;0,04361;0,67587;0,05039;
0,67635;0,03564;0,67635;0,02520;0,67687;0,04361;0,67584;0,05039;
0,67633;0,03564;0,67632;0,02520;0,67684;0,04361;0,67582;0,05039;
0,67631;0,03564;0,67626;0,02520;0,67680;0,04361;0,67575;0,05039;
0,67625;0,03564;0,67623;0,02520;0,67677;0,04361;0,67570;0,05039;
0,67622;0,03564;0,67622;0,02520;0,67674;0,04361;0,67568;0,05039;
0,67620;0,03564;0,67621;0,02520;0,67673;0,04361;0,67566;0,05039;
0,67620;0,03564;0,67621;0,02520;0,67671;0,04361;0,67565;0,05039;
0,67620;0,03564;0,67617;0,02520;0,67672;0,04361;0,67560;0,05039;
0,67616;0,03564;0,67616;0,02520;0,67671;0,04361;0,67557;0,05039;
0,67615;0,03564;0,67613;0,02520;0,67669;0,04361;0,67555;0,05039;
0,67611;0,03564;0,67614;0,02520;0,67669;0,04361;0,67561;0,05039;
0,67613;0,03564;0,67612;0,02520;0,67669;0,04361;0,67558;0,05039;
0,67611;0,03564;0,67607;0,02520;0,67664;0,04361;0,67555;0,05039;
0,67606;0,03564;0,67602;0,02520;0,67660;0,04361;0,67550;0,05039;
0,67601;0,03564;0,67600;0,02520;0,67657;0,04361;0,67548;0,05039;
0,67599;0,03564;0,67600;0,02520;0,67654;0,04361;0,67546;0,05039;
0,67599;0,03564;0,67607;0,02520;0,67659;0,04361;0,67549;0,05039;
0,67606;0,03564;0,67617;0,02520;0,67670;0,04361;0,67558;0,05039;
0,67616;0,03564;0,67625;0,02520;0,67678;0,04361;0,67568;0,05039;
0,67624;0,03564;0,67641;0,02520;0,67691;0,04361;0,67577;0,05039;
0,67640;0,03564;0,67652;0,02520;0,67704;0,04361;0,67591;0,05039;
0,67651;0,03564;0,67663;0,02520;0,67716;0,04361;0,67604;0,05039;
0,67662;0,03564;0,67672;0,02520;0,67724;0,04361;0,67616;0,05039;
0,67670;0,03564;0,67679;0,02520;0,67730;0,04361;0,67625;0,05039;
0,67678;0,03564;0,67690;0,02520;0,67742;0,04361;0,67637;0,05039;
0,67689;0,03564;0,67699;0,02520;0,67752;0,04361;0,67647;0,05039;
0,67697;0,03564;0,67704;0,02520;0,67758;0,04361;0,67654;0,05039;
0,67703;0,03564;0,67715;0,02520;0,67765;0,04361;0,67665;0,05039;
0,67714;0,03564;0,67724;0,02520;0,67774;0,04361;0,67677;0,05039;
0,67723;0,03564;0,67732;0,02520;0,67781;0,04361;0,67685;0,05039;
0,67731;0,03564;0,67742;0,02520;0,67791;0,04361;0,67695;0,05039;
0,67741;0,03564;0,67749;0,02520;0,67801;0,04361;0,67703;0,05039;
0,67748;0,03564;0,67757;0,02520;0,67808;0,04361;0,67712;0,05039;
0,67756;0,03564;0,67762;0,02520;0,67812;0,04361;0,67718;0,05039;
0,67761;0,03564;0,67766;0,02520;0,67815;0,04361;0,67722;0,05039;
0,67765;0,03564;0,67768;0,02520;0,67817;0,04361;0,67724;0,05039;
0,67767;0,03564;0,67773;0,02520;0,67820;0,04361;0,67729;0,05039;
0,67772;0,03564;0,67779;0,02520;0,67824;0,04361;0,67736;0,05039;
0,67778;0,03564;0,67801;0,02520;0,67843;0,04361;0,67744;0,05039;
0,67800;0,03564;0,67833;0,02520;0,67872;0,04361;0,67766;0,05039;
0,67832;0,03564;0,67870;0,02520;0,67908;0,04361;0,67802;0,05039;
0,67869;0,03564;0,67906;0,02520;0,67943;0,04361;0,67839;0,05039;
0,67905;0,03564;0,67937;0,02520;0,67973;0,04361;0,67873;0,05039;
0,67936;0,03564;0,67965;0,02520;0,68003;0,04361;0,67901;0,05039;
0,67964;0,03564;0,67991;0,02520;0,68030;0,04361;0,67930;0,05039;
0,67990;0,03564;0,68020;0,02520;0,68056;0,04361;0,67955;0,05039;
0,68019;0,03564;0,68046;0,02520;0,68085;0,04361;0,67981;0,05039;
0,68043;0,03564;0,68069;0,02520;0,68109;0,04361;0,68000;0,05039;
0,68067;0,03564;0,68095;0,02520;0,68135;0,04361;0,68026;0,05039;
0,68093;0,03564;0,68124;0,02520;0,68162;0,04361;0,68052;0,05039;
0,68122;0,03564;0,68147;0,02520;0,68187;0,04361;0,68076;0,05039;
0,68145;0,03564;0,68176;0,02520;0,68215;0,04361;0,68101;0,05039;
0,68174;0,03564;0,68204;0,02520;0,68243;0,04361;0,68129;0,05039;
0,68202;0,03564;0,68231;0,02520;0,68271;0,04361;0,68157;0,05039;
0,68229;0,03564;0,68257;0,02520;0,68299;0,04361;0,68183;0,05039;
0,68255;0,03564;0,68282;0,02520;0,68324;0,04361;0,68208;0,05039;
0,68280;0,03564;0,68315;0,02520;0,68354;0,04361;0,68235;0,05039;
0,68313;0,03564;0,68353;0,02520;0,68390;0,04361;0,68272;0,05039;
0,68351;0,03564;0,68393;0,02520;0,68430;0,04361;0,68310;0,05039;
0,68391;0,03564;0,68432;0,02520;0,68470;0,04361;0,68349;0,05039;
0,68430;0,03564;0,68470;0,02520;0,68509;0,04361;0,68388;0,05039;
0,68468;0,03564;0,68508;0,02520;0,68548;0,04361;0,68426;0,05039;
0,68506;0,03564;0,68551;0,02520;0,68590;0,04361;0,68464;0,05039;
0,68549;0,03564;0,68582;0,02520;0,68621;0,04361;0,68507;0,05039;
0,68580;0,03564;0,68601;0,02520;0,68643;0,04361;0,68533;0,05039;
0,68599;0,03564;0,68617;0,02520;0,68659;0,04361;0,68551;0,05039;
0,68615;0,03564;0,68629;0,02520;0,68673;0,04361;0,68563;0,05039;
0,68627;0,03564;0,68638;0,02520;0,68683;0,04361;0,68575;0,05039;
0,68636;0,03564;0,68650;0,02520;0,68693;0,04361;0,68587;0,05039;
0,68648;0,03564;0,68653;0,02520;0,68701;0,04361;0,68593;0,05039;
0,68651;0,03564;0,68654;0,02520;0,68704;0,04361;0,68598;0,05039;
0,68652;0,03564;0,68659;0,02520;0,68707;0,04361;0,68602;0,05039;
0,68659;0,03564;0,68666;0,02520;0,68714;0,04361;0,68614;0,05039;
0,68666;0,03564;0,68672;0,02520;0,68719;0,04361;0,68619;0,05039;
0,68671;0,03564;0,68672;0,02520;0,68721;0,04361;0,68621;0,05039;
0,68671;0,03564;0,68677;0,02520;0,68722;0,04361;0,68625;0,05039;
0,68677;0,03564;0,68677;0,02520;0,68723;0,04361;0,68627;0,05039;
0,68676;0,03564;0,68678;0,02520;0,68725;0,04361;0,68629;0,05039;
0,68678;0,03564;0,68681;0,02520;0,68727;0,04361;0,68629;0,05039;
0,68680;0,03564;0,68685;0,02520;0,68731;0,04361;0,68634;0,05039;
0,68685;0,03564;0,68688;0,02520;0,68734;0,04361;0,68636;0,05039;
0,68688;0,03564;0,68684;0,02520;0,68735;0,04361;0,68638;0,05039;
0,68683;0,03564;0,68675;0,02520;0,68728;0,04361;0,68630;0,05039;
0,68674;0,03564;0,68663;0,02520;0,68717;0,04361;0,68622;0,05039;
0,68662;0,03564;0,68649;0,02520;0,68706;0,04361;0,68610;0,05039;
0,68649;0,03564;0,68634;0,02520;0,68692;0,04361;0,68595;0,05039;
0,68633;0,03564;0,68617;0,02520;0,68676;0,04361;0,68577;0,05039;
0,68616;0,03564;0,68598;0,02520;0,68658;0,04361;0,68558;0,05039;
0,68596;0,03564;0,68571;0,02520;0,68635;0,04361;0,68532;0,05039;
0,68569;0,03564;0,68543;0,02520;0,68608;0,04361;0,68506;0,05039;
0,68541;0,03564;0,68508;0,02520;0,68578;0,04361;0,68474;0,05039;
0,68507;0,03564;0,68477;0,02520;0,68546;0,04361;0,68444;0,05039;
0,68476;0,03564;0,68452;0,02520;0,68518;0,04361;0,68415;0,05039;
0,68450;0,03564;0,68427;0,02520;0,68492;0,04361;0,68389;0,05039;
0,68425;0,03564;0,68407;0,02520;0,68468;0,04361;0,68368;0,05039;
0,68400;0,03564;0,68385;0,02520;0,68447;0,04361;0,68344;0,05039;
0,68380;0,03564;0,68364;0,02520;0,68426;0,04361;0,68322;0,05039;
0,68358;0,03564;0,68338;0,02520;0,68403;0,04361;0,68298;0,05039;
0,68333;0,03564;0,68311;0,02520;0,68378;0,04361;0,68271;0,05039;
0,68305;0,03564;0,68290;0,02520;0,68354;0,04361;0,68245;0,05039;
0,68284;0,03564;0,68267;0,02520;0,68333;0,04361;0,68224;0,05039;
0,68262;0,03564;0,68245;0,02520;0,68312;0,04361;0,68205;0,05039;
0,68240;0,03564;0,68221;0,02520;0,68287;0,04361;0,68181;0,05039;
0,68215;0,03564;0,68195;0,02520;0,68262;0,04361;0,68156;0,05039;
0,68189;0,03564;0,68175;0,02520;0,68240;0,04361;0,68131;0,05039;
0,68169;0,03564;0,68155;0,02520;0,68221;0,04361;0,68111;0,05039;
0,68149;0,03564;0,68134;0,02520;0,68198;0,04361;0,68090;0,05039;
0,68129;0,03564;0,68118;0,02520;0,68178;0,04361;0,68073;0,05039;
0,68112;0,03564;0,68100;0,02520;0,68162;0,04361;0,68054;0,05039;
0,68095;0,03564;0,68082;0,02520;0,68144;0,04361;0,68035;0,05039;
0,68076;0,03564;0,68068;0,02520;0,68126;0,04361;0,68019;0,05039;
0,68063;0,03564;0,68058;0,02520;0,68112;0,04361;0,68008;0,05039;
0,68053;0,03564;0,68042;0,02520;0,68099;0,04361;0,67995;0,05039;
0,68037;0,03564;0,68033;0,02520;0,68086;0,04361;0,67985;0,05039;
0,68028;0,03564;0,68031;0,02520;0,68079;0,04361;0,67981;0,05039;
0,68027;0,03564;0,68032;0,02520;0,68077;0,04361;0,67981;0,05039;
0,68028;0,03564;0,68031;0,02520;0,68077;0,04361;0,67981;0,05039;
0,68027;0,03564;0,68025;0,02520;0,68073;0,04361;0,67979;0,05039;
0,68021;0,03564;0,68020;0,02520;0,68067;0,04361;0,67973;0,05039;
0,68014;0,03564;0,68012;0,02520;0,68063;0,04361;0,67964;0,05039;
0,68013;0,03564;0,68008;0,02520;0,68056;0,04361;0,67961;0,05039;
0,68008;0,03564;0,68006;0,02520;0,68052;0,04361;0,67959;0,05039;
0,68007;0,03564;0,68009;0,02520;0,68052;0,04361;0,67959;0,05039;
0,68010;0,03564;0,68016;0,02520;0,68055;0,04361;0,67964;0,05039;
0,68016;0,03564;0,68004;0,02520;0,68058;0,04361;0,67955;0,05039;
0,68004;0,03564;0,67994;0,02520;0,68047;0,04361;0,67943;0,05039;
0,67995;0,03564;0,67984;0,02520;0,68036;0,04361;0,67931;0,05039;
0,67984;0,03564;0,67978;0,02520;0,68029;0,04361;0,67922;0,05039;
0,67978;0,03564;0,67970;0,02520;0,68021;0,04361;0,67913;0,05039;
0,67971;0,03564;0,67954;0,02520;0,68008;0,04361;0,67899;0,05039;
0,67954;0,03564;0,67937;0,02520;0,67990;0,04361;0,67881;0,05039;
0,67937;0,03564;0,67921;0,02520;0,67975;0,04361;0,67867;0,05039;
0,67922;0,03564;0,67907;0,02520;0,67963;0,04361;0,67851;0,05039;
0,67908;0,03564;0,67894;0,02520;0,67949;0,04361;0,67837;0,05039;
0,67894;0,03564;0,67886;0,02520;0,67938;0,04361;0,67822;0,05039;
0,67886;0,03564;0,67874;0,02520;0,67929;0,04361;0,67811;0,05039;
0,67874;0,03564;0,67860;0,02520;0,67918;0,04361;0,67797;0,05039;
0,67861;0,03564;0,67850;0,02520;0,67905;0,04361;0,67784;0,05039;
0,67850;0,03564;0,67835;0,02520;0,67892;0,04361;0,67768;0,05039;
0,67836;0,03564;0,67819;0,02520;0,67878;0,04361;0,67751;0,05039;
0,67819;0,03564;0,67809;0,02520;0,67865;0,04361;0,67738;0,05039;
0,67809;0,03564;0,67797;0,02520;0,67854;0,04361;0,67726;0,05039;
0,67797;0,03564;0,67787;0,02520;0,67844;0,04361;0,67714;0,05039;
0,67786;0,03564;0,67777;0,02520;0,67835;0,04361;0,67703;0,05039;
0,67777;0,03564;0,67768;0,02520;0,67824;0,04361;0,67697;0,05039;
0,67768;0,03564;0,67759;0,02520;0,67815;0,04361;0,67687;0,05039;
0,67759;0,03564;0,67747;0,02520;0,67806;0,04361;0,67677;0,05039;
0,67747;0,03564;0,67736;0,02520;0,67797;0,04361;0,67665;0,05039;
0,67736;0,03564;0,67726;0,02520;0,67787;0,04361;0,67655;0,05039;
0,67726;0,03564;0,67731;0,02520;0,67780;0,04361;0,67662;0,05039;
0,67731;0,03564;0,67734;0,02520;0,67785;0,04361;0,67667;0,05039;
0,67734;0,03564;0,67740;0,02520;0,67790;0,04361;0,67673;0,05039;
0,67740;0,03564;0,67738;0,02520;0,67792;0,04361;0,67674;0,05039;
