<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2022.08.17	11:00:20.357	134.868	134.868			6
2022.08.17	11:00:20.466	134.869	134.869			6
2022.08.17	11:00:20.558	134.868	134.868			6
2022.08.17	11:00:20.655	134.869	134.869			6
2022.08.17	11:00:20.861	134.870	134.870			6
2022.08.17	11:00:20.989	134.869	134.869			6
2022.08.17	11:00:21.113	134.868	134.868			6
2022.08.17	11:00:21.306	134.869	134.869			6
2022.08.17	11:00:21.404	134.868	134.868			6
2022.08.17	11:00:21.513	134.869	134.869			6
2022.08.17	11:00:21.612	134.868	134.868			6
2022.08.17	11:00:21.725	134.869	134.869			6
2022.08.17	11:00:22.064	134.870	134.870			6
2022.08.17	11:00:22.167	134.869	134.869			6
2022.08.17	11:00:22.264	134.870	134.870			6
2022.08.17	11:00:22.460	134.869	134.869			6
2022.08.17	11:00:22.570	134.870	134.870			6
2022.08.17	11:00:22.702	134.869	134.869			6
2022.08.17	11:00:23.209	134.868	134.868			6
2022.08.17	11:00:23.311	134.870	134.870			6
2022.08.17	11:00:23.419	134.868	134.868			6
2022.08.17	11:00:23.552	134.870	134.870			6
2022.08.17	11:00:23.765	134.869	134.869			6
2022.08.17	11:00:23.966	134.870	134.870			6
2022.08.17	11:00:24.072	134.869	134.869			6
2022.08.17	11:00:24.277	134.870	134.870			6
2022.08.17	11:00:24.402	134.869	134.869			6
2022.08.17	11:00:24.622	134.879	134.879			6
2022.08.17	11:00:24.826	134.881	134.881			6
2022.08.17	11:00:24.926	134.882	134.882			6
2022.08.17	11:00:25.129	134.884	134.884			6
2022.08.17	11:00:25.381	134.882	134.882			6
2022.08.17	11:00:25.470	134.883	134.883			6
2022.08.17	11:00:25.583	134.874	134.874			6
2022.08.17	11:00:25.676	134.873	134.873			6
2022.08.17	11:00:25.781	134.874	134.874			6
2022.08.17	11:00:25.879	134.873	134.873			6
2022.08.17	11:00:25.984	134.874	134.874			6
2022.08.17	11:00:26.109	134.871	134.871			6
2022.08.17	11:00:26.223	134.873	134.873			6
2022.08.17	11:00:26.326	134.872	134.872			6
2022.08.17	11:00:26.438	134.873	134.873			6
2022.08.17	11:00:27.196	134.866	134.866			6
2022.08.17	11:00:27.388	134.865	134.865			6
2022.08.17	11:00:27.490	134.863	134.863			6
2022.08.17	11:00:27.590	134.864	134.864			6
2022.08.17	11:00:27.694	134.862	134.862			6
2022.08.17	11:00:27.814	134.863	134.863			6
2022.08.17	11:00:27.940	134.865	134.865			6
2022.08.17	11:00:28.139	134.867	134.867			6
2022.08.17	11:00:28.234	134.868	134.868			6
2022.08.17	11:00:28.344	134.869	134.869			6
2022.08.17	11:00:28.443	134.870	134.870			6
