<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	00:32:00	0.63421	0.63423	0.63420	0.63420	3	0	50
2022.08.17	00:33:00	0.63420	0.63435	0.63420	0.63431	18	0	47
2022.08.17	00:34:00	0.63442	0.63442	0.63431	0.63431	2	0	31
2022.08.17	00:35:00	0.63439	0.63440	0.63431	0.63431	3	0	24
2022.08.17	00:36:00	0.63431	0.63431	0.63418	0.63422	10	0	43
2022.08.17	00:37:00	0.63421	0.63421	0.63421	0.63421	1	0	50
2022.08.17	00:38:00	0.63421	0.63441	0.63421	0.63422	7	0	24
2022.08.17	00:39:00	0.63440	0.63440	0.63419	0.63419	11	0	23
2022.08.17	00:40:00	0.63418	0.63435	0.63418	0.63425	19	0	48
2022.08.17	00:41:00	0.63420	0.63422	0.63420	0.63422	9	0	48
2022.08.17	00:42:00	0.63421	0.63422	0.63421	0.63421	5	0	48
2022.08.17	00:43:00	0.63421	0.63424	0.63413	0.63423	11	0	45
2022.08.17	00:44:00	0.63423	0.63424	0.63415	0.63415	11	0	46
2022.08.17	00:45:00	0.63415	0.63428	0.63415	0.63428	3	0	31
2022.08.17	00:46:00	0.63444	0.63444	0.63425	0.63425	8	0	19
2022.08.17	00:47:00	0.63418	0.63427	0.63418	0.63424	4	0	30
2022.08.17	00:48:00	0.63424	0.63431	0.63418	0.63422	30	0	32
2022.08.17	00:49:00	0.63422	0.63422	0.63414	0.63422	5	0	35
2022.08.17	00:51:00	0.63430	0.63440	0.63424	0.63440	15	0	32
2022.08.17	00:52:00	0.63440	0.63440	0.63431	0.63432	3	0	34
2022.08.17	00:53:00	0.63447	0.63447	0.63420	0.63424	12	0	34
2022.08.17	00:54:00	0.63422	0.63428	0.63422	0.63428	5	0	34
2022.08.17	00:55:00	0.63427	0.63432	0.63427	0.63432	8	0	33
2022.08.17	00:56:00	0.63432	0.63435	0.63432	0.63432	3	0	33
2022.08.17	00:57:00	0.63421	0.63432	0.63421	0.63432	2	0	33
2022.08.17	00:58:00	0.63431	0.63435	0.63409	0.63422	8	0	23
2022.08.17	00:59:00	0.63422	0.63450	0.63422	0.63425	10	0	24
2022.08.17	01:00:00	0.63425	0.63435	0.63423	0.63429	17	0	33
2022.08.17	01:01:00	0.63462	0.63467	0.63452	0.63452	4	0	11
2022.08.17	01:02:00	0.63452	0.63452	0.63442	0.63443	3	0	8
2022.08.17	01:03:00	0.63443	0.63449	0.63440	0.63449	4	0	17
2022.08.17	01:04:00	0.63449	0.63449	0.63439	0.63439	8	0	16
2022.08.17	01:05:00	0.63439	0.63448	0.63437	0.63443	8	0	17
2022.08.17	01:06:00	0.63443	0.63448	0.63443	0.63448	3	0	22
2022.08.17	01:07:00	0.63448	0.63454	0.63448	0.63449	7	0	17
2022.08.17	01:08:00	0.63447	0.63449	0.63444	0.63444	4	0	17
2022.08.17	01:09:00	0.63431	0.63431	0.63431	0.63431	1	0	46
2022.08.17	01:12:00	0.63451	0.63460	0.63450	0.63460	18	0	14
2022.08.17	01:13:00	0.63457	0.63459	0.63456	0.63459	11	0	14
2022.08.17	01:14:00	0.63459	0.63460	0.63452	0.63453	14	0	12
2022.08.17	01:15:00	0.63455	0.63458	0.63451	0.63458	14	0	9
2022.08.17	01:16:00	0.63456	0.63457	0.63453	0.63454	13	0	11
2022.08.17	01:17:00	0.63454	0.63454	0.63429	0.63438	10	0	8
2022.08.17	01:18:00	0.63438	0.63438	0.63430	0.63431	7	0	12
2022.08.17	01:19:00	0.63437	0.63440	0.63433	0.63438	10	0	12
2022.08.17	01:20:00	0.63438	0.63440	0.63437	0.63437	8	0	13
2022.08.17	01:21:00	0.63437	0.63437	0.63433	0.63433	6	0	13
2022.08.17	01:22:00	0.63441	0.63444	0.63441	0.63441	15	0	12
2022.08.17	01:23:00	0.63441	0.63443	0.63440	0.63443	14	0	12
2022.08.17	01:24:00	0.63443	0.63445	0.63441	0.63444	9	0	11
2022.08.17	01:25:00	0.63442	0.63442	0.63439	0.63439	7	0	14
2022.08.17	01:26:00	0.63443	0.63449	0.63441	0.63448	22	0	13
2022.08.17	01:27:00	0.63448	0.63450	0.63446	0.63446	7	0	15
2022.08.17	01:28:00	0.63446	0.63446	0.63443	0.63446	5	0	15
2022.08.17	01:29:00	0.63431	0.63432	0.63431	0.63431	3	0	46
2022.08.17	01:30:00	0.63431	0.63432	0.63431	0.63432	2	0	45
2022.08.17	01:31:00	0.63456	0.63457	0.63452	0.63452	7	0	12
2022.08.17	01:32:00	0.63452	0.63452	0.63430	0.63430	4	0	11
2022.08.17	01:33:00	0.63441	0.63441	0.63441	0.63441	1	0	15
