<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.17	00:27:00	0.94898	0.94898	0.94898	0.94898	1	0	89
2022.08.17	00:28:00	0.94898	0.94906	0.94885	0.94906	5	0	74
2022.08.17	00:29:00	0.94906	0.94913	0.94850	0.94852	15	0	74
2022.08.17	00:30:00	0.94851	0.94858	0.94851	0.94857	15	0	208
2022.08.17	00:31:00	0.94897	0.94919	0.94897	0.94912	19	0	23
2022.08.17	00:32:00	0.94912	0.94913	0.94912	0.94912	3	0	32
2022.08.17	00:33:00	0.94912	0.94914	0.94904	0.94904	10	0	29
2022.08.17	00:34:00	0.94913	0.94916	0.94903	0.94916	5	0	29
2022.08.17	00:35:00	0.94916	0.94916	0.94916	0.94916	1	0	29
2022.08.17	00:36:00	0.94904	0.94904	0.94904	0.94904	1	0	74
2022.08.17	00:39:00	0.94915	0.94945	0.94915	0.94943	14	0	16
2022.08.17	00:40:00	0.94948	0.94950	0.94929	0.94929	26	0	16
2022.08.17	00:41:00	0.94929	0.94929	0.94913	0.94927	7	0	16
2022.08.17	00:42:00	0.94925	0.94927	0.94912	0.94922	11	0	16
2022.08.17	00:43:00	0.94924	0.94927	0.94923	0.94926	7	0	16
2022.08.17	00:44:00	0.94926	0.94929	0.94926	0.94928	6	0	16
2022.08.17	00:45:00	0.94928	0.94936	0.94928	0.94936	12	0	16
2022.08.17	00:46:00	0.94936	0.94945	0.94936	0.94942	22	0	16
2022.08.17	00:47:00	0.94929	0.94945	0.94929	0.94945	6	0	16
2022.08.17	00:48:00	0.94945	0.94947	0.94944	0.94946	23	0	16
2022.08.17	00:49:00	0.94945	0.94948	0.94938	0.94944	26	0	16
2022.08.17	00:50:00	0.94944	0.94949	0.94936	0.94949	13	0	16
2022.08.17	00:51:00	0.94950	0.94954	0.94937	0.94953	8	0	16
2022.08.17	00:52:00	0.94953	0.94966	0.94904	0.94966	19	0	16
2022.08.17	00:53:00	0.94968	0.94987	0.94923	0.94959	51	0	16
